project,smell_type,count_before,count_after,delta,test_methods,loc_tests,density_before_tests,density_after_tests,delta_density_tests,density_before_loc,density_after_loc,delta_density_loc,status
15_beanbin,Not asserted side effects,15,13,-2,75,1264,0.20000000,0.17333333,-0.02666667,0.01186709,0.01028481,-0.00158228,ok
15_beanbin,Not null assertion,0,5,5,75,1264,0.00000000,0.06666667,0.06666667,0.00000000,0.00395570,0.00395570,ok
15_beanbin,Testing only field accesors,23,22,-1,75,1264,0.30666667,0.29333333,-0.01333333,0.01819620,0.01740506,-0.00079114,ok
15_beanbin,Testing the same exception scenario,11,4,-7,75,1264,0.14666667,0.05333333,-0.09333333,0.00870253,0.00316456,-0.00553797,ok
16_templatedetails,Asserting object initialization multiple times,1,1,0,67,532,0.01492537,0.01492537,0.00000000,0.00187970,0.00187970,0.00000000,ok
16_templatedetails,Duplicated Setup,4,4,0,67,532,0.05970149,0.05970149,0.00000000,0.00751880,0.00751880,0.00000000,ok
16_templatedetails,Multiple calls to the same void method,0,5,5,67,532,0.00000000,0.07462687,0.07462687,0.00000000,0.00939850,0.00939850,ok
16_templatedetails,Not asserted return values,0,2,2,67,532,0.00000000,0.02985075,0.02985075,0.00000000,0.00375940,0.00375940,ok
16_templatedetails,Not asserted side effects,6,8,2,67,532,0.08955224,0.11940299,0.02985075,0.01127820,0.01503759,0.00375940,ok
16_templatedetails,Not null assertion,0,1,1,67,532,0.00000000,0.01492537,0.01492537,0.00000000,0.00187970,0.00187970,ok
16_templatedetails,Testing only field accesors,4,4,0,67,532,0.05970149,0.05970149,0.00000000,0.00751880,0.00751880,0.00000000,ok
16_templatedetails,Testing the same exception scenario,4,0,-4,67,532,0.05970149,0.00000000,-0.05970149,0.00751880,0.00000000,-0.00751880,ok
17_inspirento,Asserting object initialization multiple times,79,88,9,155,2333,0.50967742,0.56774194,0.05806452,0.03386198,0.03771967,0.00385769,ok
17_inspirento,Duplicated Setup,43,46,3,155,2333,0.27741935,0.29677419,0.01935484,0.01843120,0.01971710,0.00128590,ok
17_inspirento,Exceptions due to external dependencies,1,0,-1,155,2333,0.00645161,0.00000000,-0.00645161,0.00042863,0.00000000,-0.00042863,ok
17_inspirento,Exceptions due to incomplete setup,3,1,-2,155,2333,0.01935484,0.00645161,-0.01290323,0.00128590,0.00042863,-0.00085727,ok
17_inspirento,Exceptions due to null arguments,2,0,-2,155,2333,0.01290323,0.00000000,-0.01290323,0.00085727,0.00000000,-0.00085727,ok
17_inspirento,Multiple calls to the same void method,19,21,2,155,2333,0.12258065,0.13548387,0.01290323,0.00814402,0.00900129,0.00085727,ok
17_inspirento,Not asserted return values,33,12,-21,155,2333,0.21290323,0.07741935,-0.13548387,0.01414488,0.00514359,-0.00900129,ok
17_inspirento,Not asserted side effects,41,34,-7,155,2333,0.26451613,0.21935484,-0.04516129,0.01757394,0.01457351,-0.00300043,ok
17_inspirento,Not null assertion,2,6,4,155,2333,0.01290323,0.03870968,0.02580645,0.00085727,0.00257180,0.00171453,ok
17_inspirento,Testing only field accesors,27,19,-8,155,2333,0.17419355,0.12258065,-0.05161290,0.01157308,0.00814402,-0.00342906,ok
